"game_id","event_id","event_cd","pitch_seq_tx","event_tx","bat_play_tx","battedball_cd","battedball_loc_tx"
"OAK201004050",19,20,"CFBFFFX","S8/G","","G",""
"OAK201004060",1,20,"CFX","S7/L","","L",""
"OAK201004070",41,20,"BCX","S9/G.1-3","","G",""
"TEX201004090",1,21,"BBX","DGR/9/F","","F",9
"TEX201004090",40,20,"BCX","S14/G","","G",""
"TEX201004100",54,20,"1BX","S8/F-.1-2","","F",""
"TEX201004100",73,20,"X","S8/L.3-H;2-3","","L",""
"TEX201004110",1,20,"CBX","S8/L","","L",""
"SEA201004140",38,20,"BCBCBX","S2/G-","","G",""
"SEA201004140",66,20,"CFFBBX","S9/L","","L",""
"SEA201004160",20,20,"CX","S7/L","","L",""
"SEA201004160",49,20,"BX","S8/L.3-H;1-2","","L",""
"SEA201004170",5,21,"X","DGR/9/L/FINT","","L",9
"SEA201004170",25,22,"BBX","T9/L","","L",""
"SEA201004170",43,20,"CFX","S8/F-","","F",""
"SEA201004180",48,20,"BSFBFBX","S8/L-","","L",""
"SEA201004190",6,21,"X","D7/L","","L",""
"SEA201004190",48,20,"BFFBX","S7/L.2-3","","L",""
"SEA201004200",6,20,"BX","S9/L","","L",""
"SEA201004200",39,20,"FFX","S8/L","","L",""
"CHA201004230",20,20,"BX","S9/G.2-3","","G",""
"CHA201004230",58,20,"X","S1/BG.1-2","","G",""
"CHA201004250",59,20,"CBBBFFX","S7/F","","F",""
"KCA201004260",43,20,"CBX","S4/G-.1-2","","G",""
"KCA201004260",61,20,"CBCFBBFFX","S8/L","","L",""
"KCA201004270",44,20,"CBBCFX","S7/F-","","F",""
"KCA201004270",61,20,"BBX","S2/BG","","G",""
"KCA201004280",1,21,"CCFX","D57/G","","G",""
"KCA201004280",34,20,"CBFX","S1/G-.3-H;2-3","","G",""
"KCA201004280",72,20,".CFBFX","S8/L","","L",""
"SEA201004300",4,20,"CBX","S6/G.B-2(E6/TH1)","","G",""
"SEA201004300",19,20,"BSBBFX","S7/G","","G",""
"SEA201004300",74,20,"..X","S7/G","","G",""
"SEA201005040",6,20,"BSFX","S7/G","","G",""
"SEA201005040",48,20,"CX","S6/G.2-3","","G",""
"SEA201005050",63,20,"X","S7/L","","L",""
"SEA201005060",47,20,"X","S9/L","","L",""
"SEA201005080",22,20,"CBFBX","S4/G-","","G",""
"SEA201005080",42,22,"BCX","T7/L.3-H(UR);1-H(UR)","","L",""
"SEA201005090",20,20,"BCFX","S8/G","","G",""
"SEA201005090",36,20,"BX","S7/L","","L",""
"SEA201005090",56,20,"CBFFFFBFFX","S7/L","","L",""
"BAL201005110",52,21,"BX","D9/L","","L",""
"BAL201005110",71,20,"X","S7/L","","L",""
"BAL201005120",19,21,"X","D8/F+","","F",""
"BAL201005120",62,20,"BX","S4/G","","G",""
"BAL201005130",20,20,"CFFBX","S45/G","","G",""
"BAL201005130",35,23,"1BBX","HR/89/F.1-H","","F",89
"BAL201005130",74,20,"CFX","S7/G.2XH(72!);1-2","","G",""
"TBA201005140",1,21,"BX","D8/F","","F",""
"TBA201005140",55,20,"BCSFFX","S14/G","","G",""
"TBA201005140",73,20,"BBCX","S16/G","","G",""
